1	Increase peak learning rate with extended warmup	0.995725	keep
2	Push peak learning rates to 2x baseline with 10% warmup	0.996608	discard
3	Try 1.75x peak learning rates (midpoint between 1.5x keep and 2x discard)	0.995975	discard
4	Reduce warmup ratio from 10% to 5% (more time at peak LR)	0.995672	positive — val_bpb improved from 0.995725 to 0.995672 (δ = -0.000053). reducing warmup_ratio from 0.10 to 0.05 gives more training steps at peak lr within the 300s budget. small but real improvement from a minimal one-line change. committed and pushed to autoresearch/run1.
5	Reduce cooldown fraction to spend more steps near peak LR	0.998014	discard
6	Increase weight decay to complement the 1.5x higher learning rates	0.996781	discard — val_bpb regressed by +0.001109
7	Reduce weight decay from 0.2 to 0.1 (less regularization with 1.5x LR)	0.995575	positive — val_bpb improved from 0.995672 to 0.995575 (−0.000097). reducing weight decay from 0.2 to 0.1 helped the model fit better with the 1.5x higher lr providing sufficient implicit regularization. zero complexity change, kept and pushed.
8	Tune Muon optimizer momentum beta (try reducing from default toward 0.85-0.90)	0.997394	discard
9	Increase model width (hidden dimension) by ~20% to use available VRAM headroom	1.002276	discard
10	Further reduce weight decay from 0.1 to 0.05 (continue less-regularization trend)	0.996248	discard
11	Increase model depth by 1 layer (test depth scaling vs width scaling)	0.994722	positive — val_bpb improved from 0.995575 → 0.994722 (delta: -0.000853). depth scaling (8→9 layers) is more compute-efficient than width scaling: only +20% step time vs +40%+ for width. kept and pushed to autoresearch/run1.
12	Add another layer (9→10) to continue depth scaling	1.001365	negative — increasing depth from 9 to 10 worsened val_bpb from 0.994722 to 1.001365 (δ = +0.006643). the build_model_config function scales n_embd = ceil(depth * aspect_ratio / head_dim) * head_dim, so depth 9→10 also triggered a width jump from 512 to 640 (and n_head 4→5). this combined depth+width increase made the model too large (85.9m params, 68gb vram, 536ms/step, only 571 steps in 5 min). the reduced step count hurt more than the added capacity helped. reverted train.py, no push.
13	Increase depth to 10 while reducing ASPECT_RATIO to prevent width jump (keep n_embd=512)	0.997762	negative
14	Increase Muon final momentum target from 0.95 to 0.975 (push high-momentum trend)	0.997449	negative — increasing muon final momentum from 0.95 to 0.975 degraded val_bpb significantly: 0.997449 vs baseline 0.994722 (+0.002727). the current 0.95 is better than both higher (0.975) and lower (0.90) values, confirming it is near-optimal. reverted train.py, no code pushed.
15	Tune sliding window attention size (explore SSSL/window parameters)	0.993732	positive — halving sliding window size from seq_len//2 (1024) to seq_len//4 (512) improved val_bpb from 0.994722 to 0.993732. simple 1-line change, no vram or complexity increase.
16	Further reduce sliding window size from seq_len//4 (512) to seq_len//8 (256)	0.993565	positive — reducing sliding window from seq_len//4 (512) to seq_len//8 (256) improved val_bpb from 0.993732 to 0.993565 (δ=-0.000167). simple 1-line change, no complexity added. vram slightly decreased. committed and pushed to autoresearch/run1.
17	Further reduce sliding window size from seq_len//8 (256) to seq_len//16 (128)	0.99127	positive — reducing sliding window from seq_len//8 (256) to seq_len//16 (128) improved val_bpb from 0.993565 to 0.991270 (δ=-0.002295). this is the single largest improvement from any experiment in the project — larger than the 1024→512 step (-0.000990). simple 1-line change, no complexity added. vram increased slightly to 50272 mb (within budget). committed and pushed to autoresearch/run1.
18	Further reduce sliding window size from seq_len//16 (128) to seq_len//32 (64)	0.99239	discard — reducing sliding window from seq_len//16 (128) to seq_len//32 (64) worsened val_bpb from 0.991270 to 0.992390 (δ=+0.001120). window size 64 is too narrow — the model can no longer capture sufficient local context patterns with only 64 tokens of sliding window. the accelerating improvement trend from window reduction has reversed. 128 (seq_len//16) appears to be near-optimal. reverted train.py, no push.
19	Try intermediate sliding window size seq_len//24 (~85 tokens) between the optimal 128 and failed 64	0.992111	discard — worse than baseline, confirms 128 is optimal window size
20	Increase batch size (try 2x current value) to test gradient quality vs step count tradeoff	1.017984	discard
21	Halve batch size from 2**19 (524K) to 2**18 (262K) to maximize training steps	0.982098	positive — halving batch size from 2**19 (524k) to 2**18 (262k) improved val_bpb from 0.991270 to 0.982098 (delta -0.009172). this confirms step-maximization as a primary optimization axis: ~1780 steps at ~170ms/step vs ~900 steps at ~330ms/step. vram decreased slightly to 50.1gb. committed and pushed to autoresearch/run1.
